name,population
Andorra,84000
American Samoa,57881
Algeria,34586184
Albania,2986952
Aland Islands,26711
Afghanistan,29121286
Antigua and Barbuda,86754
Antarctica,0
Anguilla,13254
Angola,13068161
Argentina,41343201
Barbados,285653
Bangladesh,156118464
Bahrain,738004
Bahamas,301790
Azerbaijan,8303512
Austria,8205000
Australia,21515754
Aruba,71566
Armenia,2968000
Belarus,9685000
Botswana,2029307
Bosnia and Herzegovina,4590000
"Bonaire, Saint Eustatius and Saba",18012
Bolivia,9947418
Bhutan,699847
Bermuda,65365
Benin,9056010
Belize,314522
Belgium,10403000
Bouvet Island,0
Cameroon,19294149
Cambodia,14453680
Burundi,9863117
Burkina Faso,16241811
Bulgaria,7148785
Brunei,395027
British Virgin Islands,21730
British Indian Ocean Territory,4000
Brazil,201103330
Canada,33679000
Colombia,44205293
Cocos Islands,628
Christmas Island,1500
China,1330044000
Chile,16746491
Chad,10543464
Central African Republic,4844927
Cayman Islands,44270
Cape Verde,508659
Comoros,773407
Denmark,5484000
Democratic Republic of the Congo,70916439
Czech Republic,10476000
Cyprus,1102677
Curacao,141766
Cuba,11423000
Croatia,4491000
Costa Rica,4516220
Cook Islands,21388
Djibouti,740528
Estonia,1291170
Eritrea,5792984
Equatorial Guinea,1014999
El Salvador,6052064
Egypt,80471869
Ecuador,14790608
East Timor,1154625
Dominican Republic,9823821
Dominica,72813
Ethiopia,88013491
Gabon,1545255
French Southern Territories,140
French Polynesia,270485
French Guiana,195506
France,64768389
Finland,5244000
Fiji,875983
Faroe Islands,48228
Falkland Islands,2638
Gambia,1593256
Guam,159358
Guadeloupe,443000
Grenada,107818
Greenland,56375
Greece,11000000
Gibraltar,27884
Ghana,24339838
Germany,81802257
Georgia,4630000
Guatemala,13550440
Hungary,9982000
Hong Kong,6898686
Honduras,7989415
Heard Island and McDonald Islands,0
Haiti,9648924
Guyana,748486
Guinea-Bissau,1565126
Guinea,10324025
Guernsey,65228
Iceland,308910
Ivory Coast,21058798
Italy,60340328
Israel,7353985
Isle of Man,75049
Ireland,4622917
Iraq,29671605
Iran,76923300
Indonesia,242968342
India,1173108018
Jamaica,2847232
Kyrgyzstan,5508626
Kuwait,2789132
Kosovo,1800000
Kiribati,92533
Kenya,40046566
Kazakhstan,15340000
Jordan,6407085
Jersey,90812
Japan,127288000
Laos,6368162
Macao,449198
Luxembourg,497538
Lithuania,3565000
Liechtenstein,35000
Libya,6461454
Liberia,3685076
Lesotho,1919552
Lebanon,4125247
Latvia,2217969
Macedonia,2062294
Mauritania,3205060
Martinique,432900
Marshall Islands,65859
Malta,403000
Mali,13796354
Maldives,395650
Malaysia,28274729
Malawi,15447500
Madagascar,21281844
Mauritius,1294104
Morocco,31627428
Montserrat,9341
Montenegro,666730
Mongolia,3086918
Monaco,32965
Moldova,4324000
Micronesia,107708
Mexico,112468855
Mayotte,159042
Mozambique,22061451
Nicaragua,5995928
New Zealand,4252277
New Caledonia,216494
Netherlands Antilles,136197
Netherlands,16645000
Nepal,28951852
Nauru,10065
Namibia,2128471
Myanmar,53414374
Niger,15878271
Palau,19907
Pakistan,184404791
Oman,2967717
Norway,5009150
Northern Mariana Islands,53883
North Korea,22912177
Norfolk Island,1828
Niue,2166
Nigeria,154000000
Palestinian Territory,3800000
Puerto Rico,3916632
Portugal,10676000
Poland,38500000
Pitcairn,46
Philippines,99900177
Peru,29907003
Paraguay,6375830
Papua New Guinea,6064515
Panama,3410676
Qatar,840926
Saint Lucia,160922
Saint Kitts and Nevis,51134
Saint Helena,7460
Saint Barthelemy,8450
Rwanda,11055976
Russia,140702000
Romania,21959278
Reunion,776948
Republic of the Congo,3039126
Saint Martin,35925
Serbia and Montenegro,10829175
Serbia,7344847
Senegal,12323252
Saudi Arabia,25731776
Sao Tome and Principe,175808
San Marino,31477
Samoa,192001
Saint Vincent and the Grenadines,104217
Saint Pierre and Miquelon,7012
Seychelles,88340
South Georgia and the South Sandwich Islands,30
South Africa,49000000
Somalia,10112453
Solomon Islands,559198
Slovenia,2007000
Slovakia,5455000
Sint Maarten,37429
Singapore,4701069
Sierra Leone,5245695
South Korea,48422644
Switzerland,7581000
Sweden,9555893
Swaziland,1354051
Svalbard and Jan Mayen,2550
Suriname,492829
Sudan,35000000
Sri Lanka,21513990
Spain,46505963
South Sudan,8260490
Taiwan,22894384
Syria,22198110
Tunisia,10589025
Trinidad and Tobago,1228691
Tonga,122580
Tokelau,1466
Togo,6587239
Thailand,67089500
Tanzania,41892895
Tajikistan,7487489
Turkey,77804122
United States,310232863
United Kingdom,62348447
United Arab Emirates,4975593
Ukraine,45415596
Uganda,33398682
U.S. Virgin Islands,108708
Tuvalu,10472
Turks and Caicos Islands,20556
Turkmenistan,4940916
United States Minor Outlying Islands,0
Yemen,23495361
Western Sahara,273008
Wallis and Futuna,16025
Vietnam,89571130
Venezuela,27223228
Vatican,921
Vanuatu,221552
Uzbekistan,27865738
Uruguay,3477000
Zimbabwe,11651858
Zambia,13460305
name,population
Algeria,34586184
Albania,2986952
Aland Islands,26711
